n,p_n,g_n,ln_p,ln2_p,R_n
0,3,1,1.0986122886681098,1.206948960812582,0.828535449690223
1,5,2,1.6094379124341003,2.5902903939802346,0.7721142018083943
2,11,4,2.3978952727983707,5.749901739308773,0.6956640619881032
3,29,6,3.367295829986474,11.338681206644297,0.5291620683791771
4,97,8,4.574710978503383,20.927980536839378,0.38226335244901705
5,127,14,4.844187086458591,23.466148528612173,0.5966040819578833
6,541,18,6.293419278846481,39.607126219356566,0.45446367151987777
7,907,20,6.810142450115136,46.37804019086019,0.43123857579349456
8,1151,22,7.048386408721883,49.67975096665536,0.44283635831359575
9,1361,34,7.215975002651466,52.07029523889082,0.652963457265088
10,9587,36,9.168163293076997,84.05521816852445,0.4282898882948907
11,15727,44,9.663134259490725,93.37616371694337,0.47121233351778913
12,19661,52,9.886392257107492,97.74075186139497,0.5320196439018661
13,31469,72,10.356758213258692,107.26244068790137,0.6712508081882684
14,156007,86,11.957656157019837,142.98554076951442,0.6014594170653083
15,360749,96,12.795937704629504,163.73602174075896,0.5863095913738243
16,370373,112,12.822265884928786,164.4105024238086,0.6812216880846966
17,492227,114,13.106695271184266,171.785460931684,0.6636184423391671
18,1349651,118,14.11535659847442,199.24329190209536,0.5922407669211925
19,1357333,132,14.121032302964789,199.40355330137504,0.6619741615160564
20,2010881,148,14.514083492463877,210.6586196262124,0.7025584818822398
21,4652507,154,15.352916772064848,235.7120534099501,0.6533395207081897
22,17051887,180,16.651771430056634,277.28149175885034,0.6491598081726445
23,20831533,210,16.851978406304443,283.98917620655124,0.7394648021629622
24,47326913,220,17.672589676852304,312.32042588638666,0.7044047771631491
25,122164969,222,18.62088289420981,346.7372797598755,0.6402542009723925
26,189695893,234,19.060932784697236,363.31915862274593,0.6440618240090524
27,191913031,248,19.072552863831415,363.7622727436439,0.6817639392053566
28,387096383,250,19.774184271665423,391.0183636097802,0.639356161414172
29,436273291,282,19.89377941916751,395.76245957849284,0.7125486340982021
30,1294268779,288,20.981211723202545,440.2112453738519,0.6542313560286592
31,1453168433,292,21.09701213566966,445.083921052593,0.6560560518776773
32,2300942869,320,21.5565848189213,464.68634905534833,0.6886365408635775
33,3842611109,336,22.06941794876899,487.05920859744685,0.6898545270657291
34,4302407713,354,22.182440636197608,492.06067257843097,0.719423477078581
35,10726905041,382,23.096020912187292,533.4261819761928,0.7161253288783057
36,20678048681,384,23.752338524349362,564.1735853752908,0.6806415790355754
37,22367085353,394,23.83085631129087,567.9097125293919,0.6937722516580639
38,25056082543,456,23.944382451090053,573.3334509640694,0.7953486740277036
39,42652618807,464,24.47635451127338,599.0919301615328,0.774505508486639
40,127976335139,468,25.57511120204673,654.0863129970562,0.7155019004381862
41,182226896713,474,25.928518432792703,672.288068119671,0.7050549049988871
42,241160624629,486,26.20872904066627,686.8974779270635,0.7075291664582363
43,297501076289,490,26.4186836797037,697.9468473682426,0.7020591923978874
44,303371455741,500,26.43822381815938,698.9796786590899,0.7153283783001976
45,304599509051,514,26.442263665623507,699.1933077623531,0.7351328942849408
46,416608696337,516,26.75541324010414,715.8521376487399,0.7208192486437681
47,461690510543,532,26.858160612951618,721.3607915111056,0.7374950319736219
48,614487454057,534,27.14405434923798,736.7996865143853,0.7247560086870017
49,738832928467,540,27.32833765448266,746.8380389574148,0.7230483342196113
50,1346294311331,582,27.928376979513033,779.9942407097935,0.7461593555747039
51,1408695494197,588,27.97368521065357,782.5270642647383,0.7514117106639426
52,1968188557063,602,28.30813472148473,801.3504914097293,0.7512318348254413
53,2614941711251,652,28.592262923044423,817.5174990605008,0.7975364450905147
54,7177162612387,674,29.601925241551463,876.2739780064016,0.7691658281732932
55,13829048560417,716,30.25779246389648,915.5340047882305,0.7820572433741725
56,19581334193189,766,30.605597891321754,936.7026222852786,0.8177622030470947
57,42842283926129,778,31.388546673021864,985.2408622444719,0.7896546213355812
58,90874329412297,804,32.14049867252306,1033.0116549184565,0.7783068043539797
